"contribution","gender"
50,"female"
10,"female"
25,"female"
50,"female"
20,"female"
15,"female"
0,"female"
50,"female"
25,"female"
50,"female"
0,"female"
0,"female"
40,"female"
0,"female"
0,"female"
35,"female"
48,"female"
20,"female"
10,"female"
20,"female"
36,"female"
40,"female"
0,"female"
0,"female"
20,"female"
0,"female"
20,"female"
0,"female"
20,"female"
0,"female"
0,"female"
25,"female"
15,"female"
0,"female"
0,"female"
35,"female"
40,"male"
40,"male"
25,"male"
25,"male"
5,"male"
50,"male"
0,"male"
26,"male"
15,"male"
15,"male"
40,"male"
30,"male"
10,"male"
15,"male"
50,"male"
0,"male"
50,"male"
0,"male"
0,"male"
15,"male"
50,"male"
0,"male"
45,"male"
5,"male"
30,"male"
45,"male"
10,"male"
0,"male"
50,"male"
25,"male"
50,"male"
50,"male"
10,"male"
40,"male"
10,"male"
10,"male"
50,"male"
50,"male"
5,"male"
30,"male"
30,"male"
