"sex","eye.color","height","handspan","handedness","rand.num","africa.percent"
"Female","Blue",73,22,0.8,"10",9
"Male","Black",67,22,0.578947368421053,"65",27
"Female","Brown",64,23.5,0.7,"65",20
"Male","Black",65,23,0.7,"10",35
"Female","Brown",69,21,0.73,"10",15
"Female","Brown",68,21.5,0.375,"10",24
"Female","Brown",68,21.5,0.375,"10",24
"Male","Hazel",75,23,1,"65",30
"Male","Blue",78,25,1,"65",8
"Male","Blue",74,25.5,0.625,"10",12
"Female","Brown",66,19,0.6,"10",NA
"Female","Brown",66,19,0.6,"10",NA
"Female","Brown",66,19,0.6,"10",NA
"Female","Brown",66,19,0.6,"10",30
"Female","Brown",66,19,0.6,"10",NA
"Male","Brown",72,24.5,0.846153846153846,"10",15
"Male","Blue",73,23,0.846153846153846,"10",15
"Female","Blue",65,22,1,"65",35
"Male","Brown",70,23,1,"10",9
"Male","Brown",70,23,1,"10",9
"Male","Brown",70,23,1,"10",9
"Male","Brown",70,23,1,"10",9
"Female","Brown",65,21.5,1,"10",18
"Male","Brown",72,26,0.571428571428571,"65",20
"Female","Brown",64,21.5,1,"65",45
"Female","Black",71,NA,0.866666666666667,"65",23
"Female","Black",71,22.5,0.866666666666667,"65",23
"Female","Black",65,19,1,"65",45
"Female","Black",63,21,1,"NA",9
"Male","Brown",76,28,0.23,"10",11
"Male","Brown",76,28,0.23,"10",11
"Female","Brown",65,NA,1,"10",15
"Female","Brown",65,22,1,"10",15
"Female","Brown",67,20.5,0.67,"10",100
"Male","Blue",70,22,1,"10",23
"Female","Brown",62,20,0.9,"65",82
"Female","Black",66,22,1,"10",15
"Male","Black",70,23,0.473684210526316,"10",7
"Female","Brown",68,21,0.818181818181818,"10",20
"Male","Blue",72,24.5,0.73,"10",20
"Male","Other",71,23,0.56,"65",28
"Male","Other",71,23,0.555555555555556,"65",28
"Male","Brown",71,23,0.56,"65",28
"Male","Other",71,23,0.56,"65",28
"Male","Other",71,23,0.555555555555556,"65",28
"Male","Other",71,23,0.56,"65",28
"Male","Brown",71,23,0.555555555555556,"65",28
"Male","Other",71,23,0.555555555555556,"65",28
"Female","Brown",62,21,1,"65",8
"Female","Brown",62,21,1,"65",8
"Male","Brown",68,22.5,-0.33,"65",18
"Male","Brown",68,22.5,-0.33,"65",18
"Male","Brown",72,22.5,1,"65",20
"Male","Brown",72,22.5,1,"65",20
"Female","Black",65,20,1,"65",26
"Female","Brown",67,21.5,0.714285714285714,"65",18
"Male","Brown",67,20,0.5,"10",35
"Male","Brown",67,20,0.5,"10",35
"Male","Brown",67,20,0.5,"10",35
"Male","Brown",67,20,0.5,"10",35
"Male","Brown",71,25,1,"65",1
"Female","Brown",71,25,1,"65",1
"Female","Hazel",67,20.5,0.8,"65",10
"Female","Brown",67,20.5,0.8,"65",10
"Male","Brown",69,24,-0.333333333333333,"10",25
"Female","Brown",64,20.5,0.857142857142857,"10",16
"Female","Brown",64,20.5,0.857,"10",16
"Female","Brown",62,21.5,0.65,"10",6
"Female","Blue",67,21.5,1,"10",20
"Male","Hazel",78,27,0.538461538461538,"65",66
"Male","Brown",74,23,1,"65",35
"Male","Blue",72,NA,0.875,"10",20
"Male","Blue",NA,NA,0.875,"10",20
"Female","Black",67,18.5,1,"65",18
"Female","Brown",67,21,1,"65",10
"Female","Brown",68,21,1,"10",13
"Female","Brown",67,19.5,0.846153846153846,"65",30
"Male","Brown",73,26.5,0.4,"10",5
"Female","Green",64,21,0.647058823529412,"10",7
"Female","Green",64,21,0.4,"10",7
"Female","Black",62,18,1,"10",20
"Female","Brown",63,21.5,1,"65",10
"Female","Brown",69,22.5,1,"10",7
"Female","Black",63,18,1,"10",10
"Female","Green",63,18,1,"10",10
"Female","Green",63,18,1,"10",10
"Female","Black",63,18,1,"10",10
"Male","Hazel",73,25.5,0.857142857142857,"10",15
"Male","Brown",74,23,0.894736842105263,"65",40
"Male","Brown",74,23,0.894736842105263,"65",40
"Male","Brown",70,25,1,"65",40
"Male","Hazel",69,23,0.43,"10",23
"Male","Brown",73,22.5,0.8571,"10",28
"Male","Brown",69,23,1,"10",20
"Male","Brown",NA,23,1,"10",20
"Male","Brown",NA,23,1,"10",20
"Male","Brown",69,23,1,"10",20
"Female","Green",69,21,1,"65",10
"Female","Brown",60,18,1,"10",15
"Female","Brown",60,18,1,"10",20
