sex,credits,class,sleep,eye.color,handedness,height,handspan,rand.num,africa.higher,africa.percent
Female,4,Sophomore,7,Blue,,,19,65,Lower,22
Male,4.5,Junior,8.5,Green,0.3,71,25.5,10,Higher,22
Male,,Junior,,Blue,0.63,66,17,,,
Male,5,Sophomore,8,Green,0.6,72,23,65,Lower,15
Male,4,Sophomore,8,Brown,0.75,65,23,65,Lower,20
Female,,Junior,3.5,Brown,0.8,61,18.5,10,Lower,9
Male,5,Sophomore,6,Brown,0.875,70,20,10,Higher,46
Female,5,Freshman,7,Brown,-1,61,22,10,Higher,25
Male,4,Sophomore,8,Brown,-0.6,71,25.5,65,Lower,30
Female,4,Sophomore,7,Brown,,64.5,22,65,Lower,23
Male,4,Junior,8,Hazel,-0.25,72,24.5,10,,17
Male,4.5,Sophomore,7,Brown,,69,22,65,Lower,28
,5.5,Sophomore,4,,0.66,62,18,65,Lower,25
Male,5,Sophomore,4,Brown,0.43,73,24,10,Higher,35
Male,4,Sophomore,7,Brown,0.4,67,21.5,65,Lower,30
Male,4,Freshman,7,Brown,0.89,68,21.5,65,Lower,25
Male,5,Junior,6,Black,,71,23,10,Higher,18
Male,5,Sophomore,4,Brown,0.47,,23,65,Lower,35
Male,5,Junior,6,Brown,0.6,,25.5,10,,14
Female,4,Sophomore,8,Green,-0.9,62,20.5,10,Higher,15
Male,5,Sophomore,7.5,Brown,-0.5,68,19,65,Lower,18
,6.5,Sophomore,,,,,,,,
Female,5,Junior,4,Blue,1,66,21,10,Lower,8
Female,5,Junior,7,,,63,18.5,10,Higher,12
,4,,7,Brown,,63,19.5,10,,15
Male,5.5,Sophomore,,Brown,1,78,24,10,Lower,5
,5,Sophomore,5,,0.75,72,24,10,,47
Female,5,Sophomore,8,Other,0.71,40,21,65,Lower,30
Male,5,Sophomore,6.5,Brown,1,73,25.5,65,Lower,32
Male,5,Sophomore,7,Blue,-0.8,74,21,10,,15
Female,5,Sophomore,6,Hazel,,64,21.5,10,Higher,15
Female,5,Sophomore,6.5,Brown,,63,20,65,Lower,60
Male,,Sophomore,6,Hazel,0.89,64,19,65,Lower,45
Female,,Sophomore,5,Brown,0.71,64,21,65,Lower,15
Male,4,Junior,7,Hazel,1,72,21,65,Lower,12
Male,4,Junior,5,Black,0.875,69,22.5,10,Higher,15
Female,,Sophomore,7.5,Hazel,0.6,66,20,10,Higher,15
Male,7,Sophomore,,Other,1,,24.5,65,Lower,26
Female,5,,9,Hazel,0.8,67,22,10,,15
Female,4.5,Sophomore,6,Brown,1,65,18,10,Higher,
Male,,,,,,,,,,
Male,5,Sophomore,8.5,Blue,0.7,71,23,65,Lower,30
Male,5,Junior,7,Hazel,0.733,67,21,65,Lower,20
Male,,Junior,5,,1,,20,10,Lower,16
Male,5,Sophomore,5,Hazel,,68,21,65,Lower,40
Male,5,Junior,4,Brown,,68,23,10,Higher,30
,,,,Green,1,,,65,Lower,40
Male,5,Sophomore,6,Brown,,71,22,65,Lower,25
,,,,,,,21.5,,Lower,18
Male,5,Sophomore,0,Green,,73,24,65,Lower,30
Male,,,7,Hazel,-1,69,23,,Higher,
Male,6,Sophomore,7,Black,0.5,70,21,65,Lower,38
Male,4,Senior,4,Brown,0.71,70,24,10,Lower,8
Female,5,Sophomore,8,Brown,0.125,67,19,10,Higher,20
Male,5,Junior,5,Brown,-0.4,66,23,10,Higher,30
Male,5,Junior,8,Hazel,-0.5,72,23.5,10,Higher,12
Male,,Sophomore,,Brown,0.66,,26,65,Lower,35
Female,5,Sophomore,7,Brown,0.067,65,18,65,Lower,42
Female,4,Sophomore,6.5,Brown,0.8,66,21,10,Lower,
Female,5,Sophomore,5.5,Brown,-0.33,,20,10,Lower,5
Female,4,Junior,7,Brown,,72,23,65,Lower,10
,,Sophomore,,Brown,,68,24,65,Lower,25
Male,5.5,Freshman,6.5,Brown,0.9,71,25.5,10,Higher,30
Male,5,Junior,5,Green,,68,21,65,Lower,43
Male,5,Sophomore,7,Brown,0.86,65,20,10,Higher,28
Female,5,Senior,6,Hazel,0.53,66,21,10,Higher,36
Male,5,Sophomore,7,Hazel,0.7,75,25,65,Higher,33
Male,4,Sophomore,,,0,71,24,10,Lower,7
Male,5,Junior,7,Black,0.71,68,21.5,65,Lower,30
Male,6,Sophomore,7,Brown,1,70,22.5,65,Lower,15
Male,5,Sophomore,,Brown,1,71,25,65,Lower,25
Male,5.5,Freshman,3,Brown,1,74,23,10,Lower,8
Male,5,Sophomore,6,Blue,0.87,69,22,65,Lower,38
Male,5.5,Freshman,5,Brown,0.895,72,25,10,Lower,8.5
Female,5,Sophomore,8,Black,0.9,65,20,65,Lower,30
Female,5,Sophomore,6,Brown,0.75,75,20.5,10,,
Male,,Sophomore,,Brown,,66,20.5,10,Higher,27
Male,,,,,,,,,,
Male,6,Sophomore,,Blue,-1,73,24,10,Higher,28
Female,5,Junior,6,Brown,0.42,65,19.5,10,Lower,6
Male,4,Sophomore,4,Brown,1,70,23.5,10,Higher,20
Male,,Sophomore,,Brown,0.85,73,24,65,Lower,20
Male,6.5,Sophomore,,,,,,,,
Male,,Freshman,4.5,Brown,0.7,,23,10,Higher,27
Female,5,Sophomore,8,Brown,0.8,64.5,19,65,Higher,40
Female,6,Junior,5,Brown,0.78,68,20.5,10,Lower,3
Female,6,Sophomore,7,Brown,,66,22,65,Lower,29
Female,5,Freshman,7,Brown,,65,21,10,Higher,12
Male,5,Sophomore,,Hazel,0.4,68,24,10,Higher,23
Male,5,Freshman,0,Hazel,1,71,25,65,Lower,34
Male,,Sophomore,5,Gray,,,22,69,Lower,
Male,5,Junior,7,Blue,1,71,19,65,Lower,15
Male,5,Sophomore,6,Brown,,73,22,10,Higher,
Male,5,Sophomore,6,Blue,0.38,73,24.5,10,Higher,25
Male,5,Sophomore,,Other,,,,65,Lower,70
Male,4,Junior,6,Blue,0.68,72,25,10,Higher,28
Female,5.5,,6,Hazel,0.73,69,20,10,Lower,5
Male,4,Sophomore,8,Brown,,,,,,
Female,5,Sophomore,6,Brown,,60,17.5,10,Higher,12
Male,4,Sophomore,8,Black,,,25,10,Higher,28
Male,6,Sophomore,5,,,,20,10,Lower,9.5
Female,4,Senior,7,Brown,1,61,20.5,65,Lower,35
,5,Sophomore,7.5,Hazel,0.75,73,24,10,Higher,20
Male,5,Freshman,7,Black,0.9,69,23,10,Higher,17
,5.5,Sophomore,2,Brown,,70,23,10,Higher,35
,5,Sophomore,6,Brown,,65,20,10,Higher,23
,,Sophomore,,Hazel,0,,24,10,Higher,26
,,Sophomore,1,Brown,0.68,69,24,10,,15
,,Sophomore,,,,68,,10,Higher,
,,,,Hazel,0.857,65,22,65,Lower,15
,,,,,0.8,72,24,65,Lower,33
,,,,,,,,10,Lower,9
