"sex","credits","eye.color","handedness","height","handspan","rand.num","africa.higher","africa.percent"
"male",6,"brown",20,15,10,"65","Lower",5
"male",4,"brown",10,17,12,"10","Lower",21
"male",2,"brown",30,19,6,"65","Lower",13
"male",4,"brown",24,18,15,"65","Lower",17
"male",4,"brown",17,20,13,"65","Lower",5
"male",6,"brown",17,16,12,"65","Lower",14
"female",6,"brown",5,6,7,"65","Lower",27
"male",6,"yellow",NA,NA,14,"65","Lower",5
"male",2,"hazel",28,15,13,"65","Lower",17
"female",6,"brown",11,8,8,"65","Lower",13
"male",NA,NA,NA,NA,NA,NA,NA,NA
"female",2,"hazel",17,12,7,"10","Higher",5
"male",6,"gray",2,18,11,"65","Lower",16
"male",4,"brown",14,17,14,"65","Higher",15
"female",4,"brown",16,11,8,"10","Higher",6
"female",4,"hazel",14,12,2,"10","Higher",3
"female",4,"hazel",8,13,13,"10","Lower",27
"female",4,"green",30,9,7,"65","Lower",8
"male",2,"brown",31,NA,13,"10","Higher",13
"male",2,"brown",12,7,14,"10","Higher",3
"male",2,"blue",18,18,14,"10","Lower",21
"male",NA,NA,NA,NA,NA,NA,"Lower",NA
"male",4,"blue",3,19,14,"65","Higher",26
"male",4,"blue",19,21,10,"10","Higher",27
"male",6,"brown",30,18,13,"10","Higher",7
"female",4,"brown",30,4,6,"65","Lower",28
"female",4,"blue",22,16,10,"65","Lower",9
"male",2,"gray",NA,12,10,"10","Higher",7
"male",4,"black",30,NA,8,"10","Higher",10
"male",4,"blue",15,22,9,"65","Lower",13
"female",2,"brown",13,5,11,"10","Lower",21
"male",2,"blue",23,18,13,"65","Lower",9
"male",4,NA,32,15,NA,"65","Higher",13
"female",4,"blue",25,10,7,"10","Lower",28
"female",4,"brown",9,5,6,"10","Higher",12
"male",4,"brown",26,13,9,"10","Higher",5
"male",2,"blue",NA,22,17,"10","Higher",3
"female",3,"blue",30,9,10,"65","Lower",20
"male",4,"brown",22,12,10,"10","Higher",NA
"male",NA,"brown",25,16,12,"10","Lower",27
"female",2,"hazel",NA,15,10,"10","Lower",27
"female",2,"hazel",NA,12,4,"10","Lower",13
"male",2,"brown",20,17,10,"65","Lower",19
"female",4,"hazel",30,5,6,"10","Higher",2
"female",4,"magenta",17,8,8,"10","Lower",18
"male",2,"brown",29,15,14,"10","Higher",6
"female",4,"brown",7,14,6,"65","Lower",5
"female",2,"hazel",30,12,6,"65","Lower",27
"female",4,NA,NA,24,NA,NA,NA,NA
"female",4,"brown",13,14,4,"10","Lower",21
"male",2,"brown",30,16,10,"10","Lower",27
"female",4,"brown",NA,2,5,"65","Lower",9
"female",4,NA,30,16,9,"65","Lower",9
"male",4,"brown",9,14,9,"10","Higher",9
"female",4,"brown",30,6,11,"10","Lower",24
"male",4,"black",30,16,10,NA,"Lower",27
NA,2,"brown",22,23,16,"65","Lower",22
NA,4,"brown",30,14,8,"10","Higher",11
NA,4,"blue",30,4,3,"10","Higher",9
NA,5,"hazel",21,14,12,"65","Lower",4
NA,4,"brown",8,6,5,"10","Higher",NA
NA,4,"brown",4,13,10,"10","Higher",9
NA,4,"brown",30,18,16,"65","Lower",8
NA,4,"blue",22,3,8,"10","Higher",5
NA,4,"brown",6,6,8,"10","Lower",28
NA,2,"brown",27,14,10,"65","Higher",25
NA,NA,"black",28,14,16,"65","Higher",23
NA,NA,NA,NA,NA,NA,NA,"Higher",9
NA,NA,NA,NA,NA,NA,NA,"Lower",NA
